Offset,Length,Type,Text
0x15D2C,6,code,ちゃん
0x15D3C,4,code,さん
0x184B4,2,code,。
0x184C0,2,code,‥
0x184CC,2,code,…
0x184D8,2,code,·
0x184E4,4,code,··
0x184F4,2,code,（
0x18500,2,code,ー
0x1850C,2,code,？
0x18518,2,code,！
0x18524,2,code,～
0x18530,2,code,っ
0x18840,2,code,。
0x18858,2,code,‥
0x18870,2,code,…
0x18888,4,code,··
0x188A4,2,code,（
0x188BC,2,code,ー
0x188D4,2,code,？
0x188EC,2,code,！
0x18904,2,code,～
0x1891C,2,code,っ
0x18CBC,8,code,ですにょ
0x18CD0,6,code,だよね
0x18CE0,6,code,のにょ
0x18CF0,6,code,のだぁ
0x18D00,4,code,にょ
0x18D10,4,code,よね
0x18D20,4,code,ねぇ
0x18D30,4,code,なぁ
0x18D40,4,code,だぁ
0x18D50,10,code,いのかにょ
0x18D64,4,code,いの
0x18D74,2,code,な
0x18D80,2,code,ね
0x18D8C,2,code,よ
0x18D98,2,code,の
0x18DA4,2,code,。
0x18DBC,2,code,‥
0x18DD4,2,code,…
0x18DEC,4,code,··
0x18E08,2,code,（
0x18E20,2,code,ー
0x18E38,2,code,？
0x18E50,2,code,！
0x18E68,2,code,～
0x18E80,2,code,っ
0x18E98,6,code,ぅにょ
0x18EA8,10,code,にょーにょ
0x18EBC,8,code,にょにょ
0x19884,2,code,ア
0x19890,2,code,あ
0x1989C,2,code,イ
0x198A8,2,code,い
0x198B4,2,code,ウ
0x198C0,2,code,う
0x198CC,2,code,エ
0x198D8,2,code,え
0x198E4,2,code,オ
0x198F0,2,code,お
0x198FC,2,code,カ
0x19908,2,code,か
0x19914,2,code,キ
0x19920,2,code,き
0x1992C,2,code,ク
0x19938,2,code,く
0x19944,2,code,ケ
0x19950,2,code,け
0x1995C,2,code,コ
0x19968,2,code,こ
0x19974,2,code,サ
0x19980,2,code,さ
0x1998C,2,code,シ
0x19998,2,code,し
0x199A4,2,code,ス
0x199B0,2,code,す
0x199BC,2,code,セ
0x199C8,2,code,せ
0x199D4,2,code,ソ
0x199E0,2,code,そ
0x199EC,2,code,タ
0x199F8,2,code,た
0x19A04,2,code,チ
0x19A10,2,code,ち
0x19A1C,2,code,ツ
0x19A28,2,code,つ
0x19A34,2,code,テ
0x19A40,2,code,て
0x19A4C,2,code,ト
0x19A58,2,code,と
0x19A64,2,code,ナ
0x19A70,2,code,な
0x19A7C,2,code,ニ
0x19A88,2,code,に
0x19A94,2,code,ヌ
0x19AA0,2,code,ぬ
0x19AAC,2,code,ネ
0x19AB8,2,code,ね
0x19AC4,2,code,ノ
0x19AD0,2,code,の
0x19ADC,2,code,ハ
0x19AE8,2,code,は
0x19AF4,2,code,ヒ
0x19B00,2,code,ひ
0x19B0C,2,code,フ
0x19B18,2,code,ふ
0x19B24,2,code,ヘ
0x19B30,2,code,へ
